Operator,Time,Cost
Deutsche Bahn,2016-12-23T14:27:00,47
Deutsche Bahn,2016-12-23T15:30:00,40
Deutsche Bahn,2016-12-23T16:28:00,47
Deutsche Bahn,2016-12-23T17:30:00,47
Deutsche Bahn,2016-12-23T18:27:00,47
Deutsche Bahn,2016-12-23T19:27:00,47
Deutsche Bahn,2016-12-23T20:27:00,47
Deutsche Bahn,2016-12-23T21:30:00,47
Deutsche Bahn,2016-12-23T22:27:00,47
SNCF,2016-12-23T14:04:00,19
SNCF,2016-12-23T16:04:00,22.8
SNCF,2016-12-23T16:31:00,22
SNCF,2016-12-23T17:04:00,22.8
SNCF,2016-12-23T17:07:00,22.8
SNCF,2016-12-23T17:31:00,22.8
SNCF,2016-12-23T18:01:00,22.8
SNCF,2016-12-23T18:31:00,19
SNCF,2016-12-23T19:04:00,22.8
SNCF,2016-12-23T19:07:00,22.8
SNCF,2016-12-23T19:31:00,22
SNCF,2016-12-23T20:04:00,19
SNCF,2016-12-23T21:07:00,22.8
SNCF,2016-12-23T22:28:00,22.8
East Midlands Trains,2016-12-23T14:15:00,50.6
East Midlands Trains,2016-12-23T14:26:00,69.65
East Midlands Trains,2016-12-23T14:29:00,65.48
East Midlands Trains,2016-12-23T14:58:00,69.65
East Midlands Trains,2016-12-23T15:15:00,50.6
East Midlands Trains,2016-12-23T15:26:00,84.53
East Midlands Trains,2016-12-23T15:29:00,94.65
East Midlands Trains,2016-12-23T15:58:00,94.65
East Midlands Trains,2016-12-23T16:15:00,65.48
East Midlands Trains,2016-12-23T16:26:00,94.65
East Midlands Trains,2016-12-23T16:29:00,65.48
East Midlands Trains,2016-12-23T16:57:00,94.65
East Midlands Trains,2016-12-23T17:00:00,94.65
East Midlands Trains,2016-12-23T17:15:00,84.53
East Midlands Trains,2016-12-23T17:30:00,94.65
East Midlands Trains,2016-12-23T17:45:00,84.53
East Midlands Trains,2016-12-23T17:57:00,94.65
East Midlands Trains,2016-12-23T18:15:00,65.48
East Midlands Trains,2016-12-23T18:25:00,65.48
East Midlands Trains,2016-12-23T18:30:00,84.53
East Midlands Trains,2016-12-23T18:57:00,84.53
East Midlands Trains,2016-12-23T19:15:00,69.65
East Midlands Trains,2016-12-23T19:28:00,69.65
East Midlands Trains,2016-12-23T19:32:00,50.6
East Midlands Trains,2016-12-23T19:55:00,65.48
East Midlands Trains,2016-12-23T20:15:00,65.48
East Midlands Trains,2016-12-23T20:26:00,50.6
East Midlands Trains,2016-12-23T20:30:00,50.6
East Midlands Trains,2016-12-23T20:55:00,50.6
East Midlands Trains,2016-12-23T21:00:00,50.6
East Midlands Trains,2016-12-23T21:30:00,20.83
East Midlands Trains,2016-12-23T22:00:00,27.98
East Midlands Trains,2016-12-23T22:25:00,24.41
East Midlands Trains,2016-12-23T23:15:00,20.83
NS,2016-12-23T14:10:00,19.2
NS,2016-12-23T14:40:00,19.2
NS,2016-12-23T15:10:00,19.2
NS,2016-12-23T15:40:00,19.2
NS,2016-12-23T16:10:00,19.2
NS,2016-12-23T16:40:00,19.2
NS,2016-12-23T17:10:00,19.2
NS,2016-12-23T17:40:00,19.2
NS,2016-12-23T18:10:00,19.2
NS,2016-12-23T18:40:00,19.2
NS,2016-12-23T19:10:00,19.2
NS,2016-12-23T19:40:00,19.2
NS,2016-12-23T20:10:00,19.2
NS,2016-12-23T20:40:00,19.2
NS,2016-12-23T21:10:00,19.2
NS,2016-12-23T21:40:00,19.2
NS,2016-12-23T22:10:00,19.2
NS,2016-12-23T22:40:00,19.2
NS,2016-12-23T23:08:00,19.2
NS,2016-12-23T23:38:00,19.2
